Edad,Ingresos,Gasto_Mensual
22,1200,150
25,1500,200
23,1300,180
27,1800,220
30,2000,250
35,2500,300
40,3000,320
45,3200,350
50,3500,400
28,2100,260
26,1700,210
24,1400,190
29,2200,270
33,2400,290
38,2800,310
42,3100,330
47,3400,360
52,3600,420
21,1100,140
23,1250,160
22,1350,170
26,1600,210
31,2300,280
36,2600,300
41,2900,320
46,3300,360
51,3550,410
27,1900,240
34,2450,295
39,2750,315
44,3050,335
49,3450,390
53,3700,430
20,1000,130
24,1450,180
28,2000,250
32,2350,285
37,2650,305
43,2950,325
48,3350,370
54,3800,440
22,1150,145
25,1550,205
29,2050,255
33,2400,290
38,2700,310
42,3000,330
47,3400,360
52,3650,420
21,1050,135
26,1650,215
30,2100,260
35,2500,300
40,2900,320
45,3200,350
50,3500,400
55,3900,450
23,1300,175
27,1800,225
31,2200,275
36,2600,305
41,2950,325
46,3300,355
51,3600,410
56,4000,460
22,1200,150
28,2100,260
34,2500,300
39,2800,320
44,3100,340
49,3450,380
54,3800,430
24,1400,180
30,2200,270
36,2600,300
42,3000,330
48,3350,370
52,3600,410
26,1700,210
32,2300,280
38,2700,310
44,3100,340
50,3500,400
21,1100,140
27,1800,220
33,2400,290
39,2800,320
45,3200,350
51,3600,410
23,1250,160
29,2100,260
35,2500,300
41,2900,320
47,3300,360
53,3700,430
22,1150,145
28,2000,250
34,2450,295
40,2900,320
46,3300,360
52,3650,420
24,1400,180
30,2200,270
36,2600,300
42,3000,330
48,3350,370
54,3800,440
25,1500,200
31,2300,280
37,2650,305
43,2950,325
49,3450,390
55,3900,450
26,1600,210
32,2350,285
38,2700,310
44,3050,335
50,3500,400
23,1300,175
29,2050,255
35,2500,300
41,2900,320
47,3400,360
53,3700,430
22,1200,150
28,2100,260
34,2450,295
40,2900,320
46,3300,360
52,3650,420
24,1450,180
30,2200,270
36,2600,300
42,3000,330
48,3350,370
54,3800,440
25,1500,200
31,2300,280
37,2650,305
43,2950,325
49,3450,390
55,3900,450
26,1700,210
32,2350,285
38,2700,310
44,3050,335
50,3500,400
